datetime,label,direction,id,x,y,w,h,Color,ColorConf,Type,TypeConf
2019-06-14 02:00:31.600000,line1,down,690,403,202,36,30,White,0.27,Car,0.53
2019-06-14 02:00:31.700000,line2,down,710,722,400,86,79,Blue,0.6,BigBus,0.37
2019-06-14 02:00:31.800000,line2,down,606,679,359,147,129,Blue,0.44,BigTruck,0.45
2019-06-14 02:00:32,line1,down,634,430,174,51,54,Blue,0.48,Car,0.24
2019-06-14 02:00:32.400000,line2,up,738,537,419,87,81,Black,0.84,Car,0.86
2019-06-14 02:00:32.500000,line2,up,754,418,354,125,134,White,0.99,SmallTruck,0.61
2019-06-14 02:00:34.100000,line1,down,758,413,203,31,30,Blue,0.48,Car,0.52
2019-06-14 02:00:34.200000,line2,down,794,655,439,68,58,White,0.95,SUV,0.57
2019-06-14 02:00:34.500000,line1,up,738,354,204,40,33,Blue,0.69,Car,0.75
2019-06-14 02:00:34.700000,line1,up,754,295,181,57,63,White,0.95,SmallTruck,0.61
2019-06-14 02:00:35,line2,down,634,688,363,114,116,White,0.51,SmallTruck,0.4
2019-06-14 02:00:36.200000,line1,down,806,408,203,36,33,Blue,0.31,Car,0.51
2019-06-14 02:00:36.800000,line1,up,858,346,204,37,31,Red,0.9,Car,0.84
2019-06-14 02:00:37.700000,line1,down,810,440,194,40,31,Blue,0.6,Car,0.29
2019-06-14 02:00:38.800000,line1,down,906,405,199,37,36,Gray,0.33,Car,0.39
2019-06-14 02:00:39.400000,line1,up,946,316,203,39,37,Blue,0.65,SmallTruck,0.41
2019-06-14 02:00:40.600000,line2,down,810,725,418,85,68,Blue,0.59,Van,0.35
2019-06-14 02:00:41.200000,line2,down,966,653,423,72,72,White,0.94,Van,0.45
2019-06-14 02:00:44.700000,line1,down,994,403,196,40,39,Blue,0.53,Car,0.42
2019-06-14 02:00:45.400000,line1,up,1034,346,183,56,54,White,0.7,SmallTruck,0.43
2019-06-14 02:00:45.500000,line1,up,1042,299,197,57,48,Blue,0.52,Car,0.41
2019-06-14 02:00:46.100000,line2,up,1050,453,441,80,72,White,0.3,SUV,0.66
2019-06-14 02:00:46.700000,line1,down,1026,407,199,34,34,Blue,0.3,Car,0.47
2019-06-14 02:00:48,line2,up,1078,392,258,200,200,White,0.94,SmallTruck,0.88
2019-06-14 02:00:48.600000,line1,up,1050,312,211,35,34,Gray,0.25,Car,0.62
2019-06-14 02:00:49.100000,line1,down,1054,411,201,32,33,Blue,0.36,Car,0.46
2019-06-14 02:00:49.400000,line2,down,1110,668,442,67,57,White,0.97,Van,0.51
2019-06-14 02:00:49.900000,line1,up,1094,316,161,79,79,White,0.95,SmallTruck,0.87
2019-06-14 02:00:50.900000,line1,down,1066,443,196,37,31,Blue,0.43,Car,0.58
2019-06-14 02:00:51.500000,line2,down,1054,654,415,76,74,White,0.4,Car,0.27
2019-06-14 02:00:53.200000,line1,down,1118,405,199,35,33,Blue,0.51,Car,0.41
2019-06-14 02:00:53.400000,line1,down,1102,436,192,41,37,Blue,0.29,Car,0.3
2019-06-14 02:00:54.400000,line2,down,1066,727,423,78,61,Blue,0.31,Car,0.47
2019-06-14 02:00:55.500000,line1,down,1146,435,196,40,31,Blue,0.6,Car,0.31
2019-06-14 02:00:55.800000,line2,down,1182,654,418,73,70,White,0.73,Van,0.49
2019-06-14 02:00:56.600000,line1,down,1166,404,202,35,32,Blue,0.33,Car,0.59
2019-06-14 02:00:56.900000,line2,down,1102,716,415,81,70,White,0.46,Van,0.36
2019-06-14 02:00:57.500000,line1,down,1178,440,199,40,28,Blue,0.47,Car,0.49
2019-06-14 02:00:58.200000,line1,down,1190,390,177,58,57,Blue,0.3,BigBus,0.39
2019-06-14 02:00:58.800000,line2,up,1214,464,445,74,63,White,0.73,Car,0.44
2019-06-14 02:00:59.100000,line2,down,1206,714,414,85,70,Blue,0.4,Van,0.39
2019-06-14 02:00:59.100000,line1,up,1202,290,174,67,75,White,0.77,SmallTruck,0.57
2019-06-14 02:00:59.200000,line2,up,1222,535,431,72,70,Black,0.7,SUV,0.38
2019-06-14 02:00:59.600000,line2,down,1226,663,452,67,56,White,0.59,SUV,0.58
2019-06-14 02:01:00.300000,line2,up,1242,505,404,108,103,White,0.69,SmallTruck,0.57
2019-06-14 02:01:00.900000,line2,down,1190,608,358,140,133,White,0.37,Van,0.47
2019-06-14 02:01:01,line1,down,1218,413,198,32,34,Blue,0.49,Car,0.41
2019-06-14 02:01:01,line2,down,1250,728,424,74,59,Black,0.64,Car,0.59
2019-06-14 02:01:01.100000,line2,up,1278,466,435,75,70,Yellow,0.45,SmallTruck,0.77
2019-06-14 02:01:01.500000,line2,up,1274,534,428,90,71,White,0.77,Car,0.92
2019-06-14 02:01:01.600000,line2,up,1294,525,415,77,61,White,0.66,Car,0.94
2019-06-14 02:01:01.600000,line1,up,1222,349,199,35,36,Blue,0.45,Car,0.42
2019-06-14 02:01:01.600000,line1,up,1214,314,213,32,30,White,0.78,Car,0.61
2019-06-14 02:01:02.400000,line2,down,1234,716,418,74,58,White,0.89,SUV,0.58
2019-06-14 02:01:02.700000,line1,up,1242,341,193,45,44,White,0.53,SmallTruck,0.42
2019-06-14 02:01:03.100000,line2,up,1314,531,431,86,73,White,0.95,Car,0.94
2019-06-14 02:01:03.100000,line1,down,1322,408,192,36,40,Red,0.48,Car,0.68
2019-06-14 02:01:03.200000,line1,down,1238,438,199,32,27,Blue,0.3,Car,0.73
2019-06-14 02:01:03.700000,line2,up,1338,528,412,85,83,Blue,0.52,SmallTruck,0.29
2019-06-14 02:01:04,line1,up,1278,320,210,33,35,Blue,0.35,SmallTruck,0.38
2019-06-14 02:01:04.100000,line1,up,1294,355,207,33,28,White,0.64,Car,0.6
2019-06-14 02:01:05.500000,line2,down,1370,599,342,155,165,White,0.98,SmallTruck,0.5
2019-06-14 02:01:05.600000,line1,down,1334,443,200,39,26,Blue,0.43,Car,0.34
2019-06-14 02:01:05.700000,line1,up,1314,353,211,34,29,White,0.87,Car,0.76
2019-06-14 02:01:06.300000,line2,up,1390,524,427,85,66,Black,0.92,Car,0.92
2019-06-14 02:01:06.300000,line1,up,1338,347,202,42,39,Blue,0.42,Car,0.27
2019-06-14 02:01:07.100000,line2,down,1366,708,423,79,57,White,0.9,Car,0.68
2019-06-14 02:01:07.100000,line1,down,1358,408,201,36,30,Blue,0.37,Car,0.61
2019-06-14 02:01:08.300000,line1,down,1362,407,205,33,29,Blue,0.3,Car,0.68
2019-06-14 02:01:08.600000,line1,up,1398,296,173,60,74,White,0.64,SmallTruck,0.4
2019-06-14 02:01:08.800000,line1,up,1390,348,205,40,30,Black,0.63,Car,0.79
2019-06-14 02:01:09.400000,line2,down,1334,730,428,75,59,Red,0.55,Car,0.61
2019-06-14 02:01:09.700000,line1,down,1406,413,201,36,30,Gray,0.33,Car,0.56
2019-06-14 02:01:09.800000,line2,down,1466,671,446,64,52,Black,0.69,Car,0.8
2019-06-14 02:01:10.200000,line1,up,1434,310,159,89,80,White,0.9,SmallTruck,0.65
2019-06-14 02:01:11.300000,line2,down,1362,656,443,72,58,White,0.49,Car,0.69
2019-06-14 02:01:12.100000,line2,up,1498,483,364,169,149,White,0.99,SmallTruck,0.86
2019-06-14 02:01:12.700000,line2,down,1406,682,441,79,61,White,0.48,Car,0.6
2019-06-14 02:01:12.900000,line1,up,1514,302,182,48,60,Blue,0.96,BigBus,0.62
2019-06-14 02:01:14.100000,line1,down,1522,400,198,44,38,Blue,0.55,Car,0.39
2019-06-14 02:01:14.500000,line1,up,1534,317,174,73,69,White,0.92,SmallTruck,0.73
2019-06-14 02:01:15.800000,line1,down,1510,406,196,37,36,Blue,0.46,Car,0.61
2019-06-14 02:01:15.900000,line2,up,1578,474,338,178,175,White,0.98,SmallTruck,0.61
2019-06-14 02:01:16.300000,line1,up,1542,304,190,51,56,White,0.48,SmallTruck,0.49
2019-06-14 02:01:16.900000,line1,down,1566,428,199,45,29,Blue,0.37,Car,0.47
2019-06-14 02:01:18.400000,line2,down,1634,660,433,68,55,White,0.94,SmallTruck,0.54
2019-06-14 02:01:18.500000,line1,up,1582,304,208,46,40,White,0.5,Car,0.36
2019-06-14 02:01:18.500000,line1,up,1578,307,151,83,88,White,0.91,SmallTruck,0.75
2019-06-14 02:01:19,line1,down,1610,408,201,35,31,White,0.34,Car,0.62
2019-06-14 02:01:19.500000,line2,up,1674,530,422,87,74,Black,0.61,SUV,0.53
2019-06-14 02:01:19.500000,line2,down,1678,738,439,71,54,Black,0.86,Car,0.96
2019-06-14 02:01:20.500000,line1,down,1602,405,196,34,36,Blue,0.35,Car,0.4
2019-06-14 02:01:20.800000,line1,up,1698,304,188,50,59,White,0.78,SmallTruck,0.41
2019-06-14 02:01:21.400000,line2,down,1710,655,432,77,61,White,0.97,SUV,0.52
2019-06-14 02:01:21.400000,line2,up,1714,545,438,78,71,White,0.91,SUV,0.55
2019-06-14 02:01:21.800000,line1,up,1674,351,204,38,36,Black,0.42,SUV,0.55
2019-06-14 02:01:22.100000,line1,up,1694,319,213,31,32,White,0.7,SUV,0.4
2019-06-14 02:01:23.900000,line1,up,1714,350,200,36,37,White,0.84,SUV,0.53
2019-06-14 02:01:25.200000,line2,up,1786,531,431,83,68,Black,0.89,Car,0.83
2019-06-14 02:01:25.500000,line1,up,1758,349,198,35,37,White,0.82,SUV,0.54
2019-06-14 02:01:25.600000,line1,up,1762,318,206,39,35,White,0.48,Car,0.46
2019-06-14 02:01:26,line1,up,1778,307,205,45,41,White,0.3,Car,0.31
2019-06-14 02:01:26.200000,line1,down,1774,405,201,33,31,Blue,0.29,Car,0.34
2019-06-14 02:01:26.700000,line1,down,1622,419,168,63,60,Blue,0.59,Car,0.25
2019-06-14 02:01:27.600000,line1,up,1786,348,204,38,33,Black,0.41,Car,0.68
2019-06-14 02:01:28.700000,line2,down,1838,661,426,63,64,Gray,0.74,Van,0.98
